"market","city","name","description","price_range","latitude","longitude"
"Houston, TX",Houston,Tacos A Go Go,"$ • Mexican, Tex-Mex",$,29.738444,-95.3798895
"Houston, TX",Houston,Khun Kay Thai Cafe,"$$ • Thai, Curry",$$,29.7557913,-95.3918827
"Houston, TX",Houston,The Meltdown,"$$ • Melts, Sandwiches",$$,29.7212608,-95.3762272
"Houston, TX",Houston,La Mexicana Restaurant,"$$ • Takeout, Lunch",$$,29.7484079,-95.391649
"Houston, TX",Houston,Abu Omar Halal,"$$ • Salads, Beverages",$$,29.760042,-95.362112
"Houston, TX",Houston,El Tiempo Taqueria,"$$ • Takeout, Pickup",$$,29.7709217,-95.4182798
"Houston, TX",Houston,El Taco Rico,"$$ • Tacos, Breakfast",$$,29.7462295,-95.3622859
"Houston, TX",Houston,CAVA,"$$ • Healthy, Bowls",$$,29.7704309,-95.4012509
"Houston, TX",Houston,Chili's Grill & Bar,"$$ • Chicken Tenders, Fried Chicken",$$,29.7763336,-95.3834445
"Houston, TX",Houston,El Charro Mexican Bar,"$$ • Mexican, Breakfast",$$,29.7466172,-95.3380028
"Houston, TX",Houston,the monks heights,"$$ • Chinese, Fried Rice",$$,29.7716417,-95.3967141
"Houston, TX",Houston,Barnaby's Cafe,"$$ • Dinner, Burgers",$$,29.753638,-95.387163
"Houston, TX",Houston,Pho Binh,"$ • Vietnamese, Noodles",$,29.7819194,-95.3902331
"Houston, TX",Houston,Minuti Coffee,"$ • Pastries, Coffee",$,29.7602138,-95.3625748
"Houston, TX",Houston,China 101 Express,"$$ • Asian, Asian Food",$$,29.7356679,-95.3009225
"Houston, TX",Houston,Gus's World Famous Fried Chicken,"$$ • Chicken, Fried Chicken",$$,29.7675427,-95.3765744
"Houston, TX",Houston,Mr. Soysauce Chinese,"$$ • Chinese, Shrimp",$$,29.7226889,-95.3704827
"Houston, TX",Houston,Bebidas,"$ • Smoothies, Tacos",$,29.7412793,-95.4340316
"Houston, TX",Houston,Marble Slab Creamery,"$$ • Ice Cream, Catering",$$,29.775552,-95.382718
"Houston, TX",Houston,Pink's Pizza,"$$ • Italian, Pizza",$$,29.7536119,-95.3894516
"Houston, TX",Houston,Local Foods,"$$ • Sandwiches, Salads",$$,29.7836433,-95.3984864
"Houston, TX",Houston,SeaSide Poke,"$$ • Poke, Dessert",$$,29.7502201300492,-95.3562495448053
"Houston, TX",Houston,Five Guys Burgers & Fries,"$$ • Breakfast Sandwiches, Breakfast and Lunch",$$,29.7695083,-95.4004588
"Houston, TX",Houston,Dichos Taqueria,"$$ • Breakfast, Mexican",$$,29.7331121,-95.3088633
"Houston, TX",Houston,Benihana,"$$ • Chicken, Steak",$$,29.7560868,-95.3697436
